,Pos,Name,Salary,TeamAbbrev,AvgPointsPerGame,Projected Points
354,TE,JP Holtz,2500,CHI,0.0,0.6
355,TE,Patrick Scales,2500,CHI,0.0,0.4
356,TE,Chris Manhertz,2500,CAR,1.07,1.7
357,TE,Darrell Daniels,2500,ARI,1.47,1.7
358,TE,Jordan Thomas,2500,ARI,0.0,0.8
359,TE,Jeremy Sprinkle,2500,WAS,0.0,0.8
360,TE,Marcus Baugh,2500,WAS,0.4,1.0
361,TE,Cameron Brate,2500,TB,0.0,1.3
362,TE,Tanner Hudson,2500,TB,0.0,0.0
363,TE,Antony Auclair,2500,TB,0.0,0.1
364,TE,Virgil Green,2500,LAC,0.67,2.2
365,TE,Stephen Anderson,2500,LAC,0.0,0.7
366,TE,Donald Parham Jr,2500,LAC,0.0,1.3
367,TE,Will Dissly,2500,SEA,2.4,3.6
368,TE,Luke Willson,2500,SEA,0.0,1.1
369,TE,Durham Smythe,2500,MIA,0.57,2.1
370,TE,Adam Shaheen,2500,MIA,0.47,1.6
371,TE,Cethan Carter,2500,CIN,0.37,1.2
372,TE,Cethan Carter,2500,CIN,0.37,1.3
373,TE,Mason Schreck,2500,CIN,0.0,0.2
374,TE,Sean McKeon,2500,DAL,0.0,0.9
375,TE,Harrison Bryant,2500,CLE,3.73,4.2
376,TE,Stephen Carlson,2500,CLE,0.0,1.1
377,TE,Irv Smith Jr,2500,MIN,1.13,4.4
378,TE,Tyler Conklin,2500,MIN,0.0,0.9
379,TE,Pharaoh Brown,2500,HOU,0.0,0.5
380,DST,Texans ,2500,HOU,1.67,6.0
381,TE,Levine Toilolo,2500,NYG,0.77,1.3
382,TE,Gerald Everett,2500,LAR,2.37,4.0
383,TE,Johnny Mundt,2500,LAR,0.0,0.5
384,TE,Brycen Hopkins,2500,LAR,0.0,2.2
385,TE,Reggie Gilliam,2500,BUF,2.37,1.5
386,TE,Reggie Gilliam,2500,BUF,2.37,0.5
387,TE,Jason Witten,2500,LV,0.83,2.5
388,TE,Foster Moreau,2500,LV,4.87,3.8
389,TE,Derek Carrier,2500,LV,0.0,0.7
390,TE,Tommy Sweeney,2500,BUF,0.0,0.1
391,TE,Devin Asiasi,2500,NE,0.0,1.8
392,TE,Nick Keizer,2500,KC,0.0,1.1
393,TE,Deon Yelder,2500,KC,0.0,0.3
394,DST,Browns ,2300,CLE,6.0,6.0
395,DST,Lions ,2200,DET,1.67,4.6
396,DST,Dolphins ,2000,MIA,6.0,5.7
